ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Kaget Makan di Restoran Bayar Rp 17 Juta, Turis Jepang Lapor Polisi",233,80,278,6.177777778,81.01176471
facebook / cpc,"Waspadai Hoax soal Gempa Banten, Termasuk Info dan Gambar Ini",171,0,278,0,48.45251397
facebook / cpc,Ini Cara Go-Jek Menentukan Tarif Layanannya,198,0,269,0,74.37563452
facebook / cpc,Ini yang Diyakini Jadi Penyebab Sanchez Pilih MU ketimbang City,198,0,269,1.758169935,18.43846154
facebook / cpc,Lihat Manisnya Gisel dan Gempita yang Nggak Bikin Makruh,81,0,269,0,13.54132231
facebook / cpc,Liverpool Dikalahkan Tim Juru Kunci,242,53.33333333,269,1.992592593,187.168
facebook / cpc,Pembunuh Driver Taksi Online di Semarang Berhasil Ditangkap,224,66.66666667,269,9.962962963,62.10588235
facebook / cpc,Karya Memukau Jawara Kontes Foto Warna Alam,45,0,260,0,17.92031873
facebook / cpc,Pelaku Diduga Membunuh Dera di Rumahnya,233,50,260,14.44444444,60.71710526
facebook / cpc,"Soal Jatah ke Anggota DPR, Novanto: Sudah Saya Tulis Siapa Orangnya",224,0,260,1.699346405,8.115384615
facebook / cpc,"Tak Miring, Ini Penampakan Apartemen di Depok yang Viral Usai Gempa",144,0,260,0,57.9223301
facebook / cpc,Juri Indonesia Idol Tak Tutup Mata tentang Video Syur Mirip Marion Jola,81,7.142857143,251,1.992063492,7.896995708
facebook / cpc,"Sebelum Dimakamkan, Sys NS Disalatkan di Rumah",54,0,251,0,38.52191235
facebook / cpc,"Top 5 News: Jakarta Diguncang Gempa, Sys Ns Meninggal Dunia",108,0,251,0,19.46046512
google / cpc,Andi Narogong Ungkap Peran Novanto cs di Proyek e-KTP,117,0,251,0,84.76595745
google / cpc,"Gempa 6,4 SR Guncang Jakarta",189,100,251,27.88888889,143.2
facebook / cpc,8 Gaya Miliaran Rupiah Bupati Rita yang Ditangkap KPK karena Kasus Suap,27,0,242,0,17.14592275
facebook / cpc,Foto: Ombak yang Dijuluki Monster,36,0,242,0,72.13304721
facebook / cpc,"Gaya Kekinian Artis Pakai Busana Merek Off-White, Syahrini Hingga Beyonce",18,0,242,0,28.41517857
facebook / cpc,Ke Mana Sanchez Akan Berlabuh?,180,0,242,0,79.96273292
facebook / cpc,Siswi SMK di Banyumas Bunuh Bayi yang Baru Dilahirkannya,233,100,242,26.88888889,116.9937888
facebook / cpc,"Tanggapi Aksi Pukul, Klub Moge: Harusnya Bisa Kontrol Diri",206,81.81818182,233,2.353535354,127.953271
facebook / cpc,Video Pengendara Moge Tabok Pengemudi Mobil,233,100,233,25.88888889,361.3636364
google / cpc,"Messi Berjaket Go-Jek, Isyana Kini Jadi 'Korban' Dede Sunandar",9,0,233,0,24.60714286
facebook / cpc,Datsun Cross akan Jadi Mobil Polisi Juga seperti Nissan Almera?,206,0,224,12.44444444,49.55263158
facebook / cpc,"Dion Wiyoko dan Marshall Sastra Tantang Ivan Gunawan, Ada Apa Ya?",27,33.33333333,224,8.296296296,6.609137056
facebook / cpc,"Foto: Pesona Yui Aragaki, Aktris Berwajah Cantik Paling Ideal di Jepang",54,0,224,0,12.88826816
facebook / cpc,"Jokowi Minta Pemda Selaras dengan Pusat, ini Respons Anies",206,66.66666667,224,1.185185185,263.9014085
facebook / cpc,Papa Idaman! Foto Kedekatan Seleb dan Anak Ini Bikin Gemas!,81,0,224,0,15.11842105
facebook / cpc,"Selain Fake GPS, Order Fiktif Rongrong Ojek Online",171,0,224,4.148148148,12.86607143
facebook / cpc,"Tanggapi Penumpang 'Tuyul', Ini Kata Uber",180,37.5,224,3.111111111,166.5594406
facebook / cpc,Ungkapan Duka Cita Untuk Sys NS Deras di Instagram,153,0,224,0,109.8470588
facebook / cpc,"Edan, Ponsel Ini Punya Baterai 13.000 mAh",198,76.92307692,215,1.837606838,101.6853933
facebook / cpc,Gempa Keras di Jakarta Terasa Lebih dari 1 Menit,180,20,215,2.388888889,233.64
facebook / cpc,Jennifer Dunn dan Deretan Mobil Mewahnya,180,100,215,23.88888889,97.83673469
facebook / cpc,Kasus Salah Baca Xiaomi Terulang Kembali,180,83.33333333,215,1.990740741,178.4494382
facebook / cpc,Netizen Ramai Teriakkan,,,,,
